"","index","Job Title","Salary Estimate","Rating","Company Name","City","State","Metro Area","Industry","Sector","Lower Salary","Upper Salary","Avg Salary(K)","cost.of.living"
"474",605,"Lead Data Scientist","$158K-$211K (Glassdoor est.)",3.7,"Visa Inc.
3.7","Bellevue","WA","Seattle","IT Services","Information Technology",158,211,184.5,124.6
"475",606,"Senior Data Scientist - Algorithms","$150K-$180K (Glassdoor est.)",3.9,"Quartet Health
3.9","New York","NY","New York","Enterprise Software & Network Solutions","Information Technology",150,180,165,128
"476",607,"Information Security Data Analyst","$42K-$80K (Glassdoor est.)",3.7,"Motorola Solutions
3.7","Chicago","IL","Chicago","Computer Hardware & Software","Information Technology",42,80,61,100.1
"477",608,"Lead Data Engineer","$190K-$220K(Employer est.)",4.1,"Credit Sesame
4.1","Mountain View","CA","San Jose","Internet","Information Technology",190,220,205,173.5
"478",609,"Data Analyst","$42K-$77K (Glassdoor est.)",3.1,"Success Academy Charter Schools
3.1","New York","NY","New York","K-12 Education","Education",42,77,59.5,128
"479",610,"Scientist Manufacturing - Kentucky BioProcessing","$68K-$139K (Glassdoor est.)",3.1,"Reynolds American
3.1","Owensboro","KY","Owensboro","Consumer Products Manufacturing","Manufacturing",68,139,103.5,86.6
"480",613,"Consultant - Analytics Consulting","$54K-$71K (Glassdoor est.)",3,"Infosys
3.0","Hartford","CT","Hartford","IT Services","Information Technology",54,71,62.5,104.8
"481",614,"Data Analytics Project Manager","$34K-$92K (Glassdoor est.)",3.6,"MassMutual
3.6","Springfield","MA","Springfield, MA","Insurance Carriers","Insurance",34,92,63,106.5
"482",616,"Data Analyst","$47K-$85K (Glassdoor est.)",3.6,"AXION Healthcare Solutions
3.6","New York","NY","New York","Health Care Services & Hospitals","Health Care",47,85,66,128
"483",617,"Data Engineer","$65K-$124K (Glassdoor est.)",3.5,"Alignment Healthcare
3.5","Orange","CA","Los Angeles","Health Care Services & Hospitals","Health Care",65,124,94.5,140.6
"484",619,"Data Scientist","$56K-$95K (Glassdoor est.)",4.2,"ExecOnline
4.2","New York","NY","New York","Education Training Services","Education",56,95,75.5,128
"485",622,"Machine Learning Engineer","$62K-$112K (Glassdoor est.)",4,"Mteq
4.0","Fort Belvoir","VA","Washington","Aerospace & Defense","Aerospace & Defense",62,112,87,120.1
"486",623,"Senior Data Scientist Oncology","$107K-$173K (Glassdoor est.)",3.9,"AstraZeneca
3.9","Gaithersburg","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",107,173,140,120.1
"487",624,"Data Scientist","$64K-$108K (Glassdoor est.)",3.7,"Brillient
3.7","Silver Spring","MD","Washington","IT Services","Information Technology",64,108,86,120.1
"488",625,"Senior Data Scientist","$89K-$144K (Glassdoor est.)",4.4,"Entefy
4.4","Palo Alto","CA","San Francisco","Internet","Information Technology",89,144,116.5,178.6
"489",627,"Senior Scientist (Neuroscience)","$109K-$200K (Glassdoor est.)",3.5,"Sunovion
3.5","Marlborough","MA","Worcester","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",109,200,154.5,113.2
"490",629,"Machine Learning Engineer - Regulatory","$61K-$113K (Glassdoor est.)",3.7,"Cboe Global Markets
3.7","Lenexa","KS","Kansas City","Stock Exchanges","Finance",61,113,87,91.6
"491",630,"Marketing Data Analyst","$35K-$62K (Glassdoor est.)",3.6,"San Manuel Casino
3.6","Highland","CA","Riverside","Gambling","Arts, Entertainment & Recreation",35,62,48.5,116.1
"492",631,"Data Engineer","$55K-$105K (Glassdoor est.)",3.4,"Trace3
3.4","Houston","TX","Houston","IT Services","Information Technology",55,105,80,95.8
"493",632,"Medical Laboratory Scientist","$18-$25 Per Hour(Glassdoor est.)",4,"Texas Health Huguley Hospital
4.0","Burleson","TX","Dallas","Health Care Services & Hospitals","Health Care",37,52,44.5,98.5
"494",633,"R&D Specialist/ Food Scientist","$39K-$66K (Glassdoor est.)",2.4,"Teasdale Latin Foods
2.4","Hoopeston","IL","Danville, IL","Food & Beverage Manufacturing","Manufacturing",39,66,52.5,83.9
"495",634,"Principal Data Scientist","$135K-$211K (Glassdoor est.)",3.7,"Northrop Grumman
3.7","San Jose","CA","San Jose","Aerospace & Defense","Aerospace & Defense",135,211,173,173.5
"496",635,"Data Engineer","$57K-$80K (Glassdoor est.)",3.5,"Saama Technologies Inc
3.5","Phoenix","AZ","Phoenix","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",57,80,68.5,104.3
"497",636,"Data Scientist - Alpha Insights","$129K-$215K (Glassdoor est.)",4.4,"Two Sigma
4.4","New York","NY","New York","Investment Banking & Asset Management","Finance",129,215,172,128
"498",637,"Data Scientist, Office of Data Science","$86K-$143K (Glassdoor est.)",3.3,"Liberty Mutual Insurance
3.3","Boston","MA","Boston","Insurance Carriers","Insurance",86,143,114.5,132.6
"499",638,"Associate Principal Scientist, Pharmacogenomics","$63K-$127K (Glassdoor est.)",3.9,"AstraZeneca
3.9","Gaithersburg","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,127,95,120.1
"500",639,"Data Scientist - Systems Engineering","$50K-$89K (Glassdoor est.)",3.2,"MITRE
3.2","Bedford","MA","Boston","Federal Agencies","Government",50,89,69.5,132.6
"501",640,"Data Engineer","$43K-$86K (Glassdoor est.)",3.2,"Guidepoint
3.2","New York","NY","New York","Research & Development","Business Services",43,86,64.5,128
"502",642,"Scientist, Bacteriology","$74K-$149K (Glassdoor est.)",2.1,"Cerus Corporation
2.1","Concord","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",74,149,111.5,178.6
"503",643,"Data Scientist","$71K-$124K (Glassdoor est.)",4,"Strategic Financial Solutions
4.0","New York","NY","New York","Consumer Product Rental","Consumer Services",71,124,97.5,128
"504",644,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence","$113K-$196K (Glassdoor est.)",3.7,"Takeda Pharmaceuticals
3.7","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",113,196,154.5,132.6
"505",645,"Senior Research Scientist-Machine Learning","$81K-$167K (Glassdoor est.)",2.6,"Software Engineering Institute
2.6","Pittsburgh","PA","Pittsburgh","Colleges & Universities","Education",81,167,124,93.1
"506",646,"Data Scientist","$69K-$121K (Glassdoor est.)",3.4,"Remedy BPCI Partners, LLC.
3.4","New York","NY","New York","Health Care Services & Hospitals","Health Care",69,121,95,128
"507",647,"Senior Data Scientist","$97K-$160K (Glassdoor est.)",4.4,"Maven Wave Partners
4.4","Chicago","IL","Chicago","Consulting","Business Services",97,160,128.5,100.1
"508",648,"Principal Data Scientist","$150K-$238K (Glassdoor est.)",3.2,"The Climate Corporation
3.2","San Francisco","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",150,238,194,178.6
"509",651,"Data Scientist","$77K-$132K (Glassdoor est.)",3.5,"Crossix Solutions
3.5","New York","NY","New York","Advertising & Marketing","Business Services",77,132,104.5,128
"510",652,"Clinical Laboratory Scientist","$24-$39 Per Hour(Glassdoor est.)",3.7,"Vail Health
3.7","Vail","CO","Glenwood Springs","Health Care Services & Hospitals","Health Care",49,81,65,127.8
"511",653,"Data Engineer - Consultant (Charlotte Based)","$59K-$112K (Glassdoor est.)",4.2,"Clarity Insights
4.2","Charlotte","NC","Charlotte","IT Services","Information Technology",59,112,85.5,97.9
"512",654,"Data Analyst 1, full-time contract worker for up to 12 months","$35K-$65K (Glassdoor est.)",4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Salt Lake City","UT","Salt Lake City","Religious Organizations","Non-Profit",35,65,50,105.9
"513",655,"Data Engineer","$79K-$147K (Glassdoor est.)",3.1,"NCSOFT
3.1","Aliso Viejo","CA","Los Angeles","Video Games","Media",79,147,113,140.6
"514",658,"Scientist, Immuno-Oncology","$62K-$119K (Glassdoor est.)",3.9,"GSK
3.9","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",62,119,90.5,132.6
"515",660,"Senior Data Scientist","$119K-$187K (Glassdoor est.)",4.3,"Factual
4.3","Los Angeles","CA","Los Angeles","Computer Hardware & Software","Information Technology",119,187,153,140.6
"516",661,"Products Data Analyst II","$90K-$157K (Glassdoor est.)",3.3,"TriNet
3.3","Dublin","CA","San Jose","Consulting","Business Services",90,157,123.5,173.5
