"...1","index","Job.Title","Salary.Estimate","City","Company","Rating","State","Metro.Area","Industry","Sector","Lower.Salary","Upper.Salary","Avg.Salary.K.","cost.of.living","region"
662,845,"Senior Data Scientist","$89K-$144K (Glassdoor est.)","Palo Alto","Entefy","4.4","CA","San Francisco","Internet","Information Technology",89,144,116.5,178.6,"California"
663,848,"Senior Scientist (Neuroscience)","$109K-$200K (Glassdoor est.)","Marlborough","Sunovion","3.5","MA","Worcester","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",109,200,154.5,113.2,"Massachusetts"
664,851,"Marketing Data Analyst","$35K-$62K (Glassdoor est.)","Highland","San Manuel Casino","3.6","CA","Riverside","Gambling","Arts, Entertainment & Recreation",35,62,48.5,116.1,"California"
665,852,"Machine Learning Engineer - Regulatory","$61K-$113K (Glassdoor est.)","Lenexa","Cboe Global Markets","3.7","KS","Kansas City","Stock Exchanges","Finance",61,113,87,91.6,"Midwest"
666,853,"Data Engineer","$55K-$105K (Glassdoor est.)","Houston","Trace3","3.4","TX","Houston","IT Services","Information Technology",55,105,80,95.8,"South"
667,854,"Medical Laboratory Scientist","$18-$25 Per Hour(Glassdoor est.)","Burleson","Texas Health Huguley Hospital","4.0","TX","Dallas","Health Care Services & Hospitals","Health Care",37,52,44.5,98.5,"South"
668,855,"Principal Data Scientist","$135K-$211K (Glassdoor est.)","San Jose","Northrop Grumman","3.7","CA","San Jose","Aerospace & Defense","Aerospace & Defense",135,211,173,173.5,"California"
669,856,"R&D Specialist/ Food Scientist","$39K-$66K (Glassdoor est.)","Hoopeston","Teasdale Latin Foods","2.4","IL","Danville, IL","Food & Beverage Manufacturing","Manufacturing",39,66,52.5,83.9,"Midwest"
670,857,"Data Engineer","$57K-$80K (Glassdoor est.)","Phoenix","Saama Technologies Inc","3.5","AZ","Phoenix","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",57,80,68.5,104.3,"West"
671,858,"Associate Principal Scientist, Pharmacogenomics","$63K-$127K (Glassdoor est.)","Gaithersburg","AstraZeneca","3.9","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,127,95,120.1,"South"
672,859,"Data Scientist - Systems Engineering","$50K-$89K (Glassdoor est.)","Bedford","MITRE","3.2","MA","Boston","Federal Agencies","Government",50,89,69.5,132.6,"Massachusetts"
673,860,"Senior Data Scientist","$82K-$132K (Glassdoor est.)","Cincinnati","The David J. Joseph Company","4.4","OH","Cincinnati","Metals Brokers","Mining & Metals",82,132,107,92.4,"Midwest"
674,861,"Data Scientist SR","$85K-$139K (Glassdoor est.)","Charlottesville","The Buffalo Group","3.9","VA","Charlottesville","IT Services","Information Technology",85,139,112,102.1,"South"
675,863,"Data Scientist","$72K-$121K (Glassdoor est.)","Washington","CompQsoft","3.4","DC","Washington","Consulting","Business Services",72,121,96.5,120.1,"South"
676,864,"Scientist, Bacteriology","$74K-$149K (Glassdoor est.)","Concord","Cerus Corporation","2.1","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",74,149,111.5,178.6,"California"
677,866,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence","$113K-$196K (Glassdoor est.)","Cambridge","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",113,196,154.5,132.6,"Massachusetts"
678,867,"Data Scientist","$69K-$121K (Glassdoor est.)","New York","Remedy BPCI Partners, LLC.","3.4","NY","New York","Health Care Services & Hospitals","Health Care",69,121,95,128,"New York"
679,868,"Data Scientist","$71K-$124K (Glassdoor est.)","New York","Strategic Financial Solutions","4.0","NY","New York","Consumer Product Rental","Consumer Services",71,124,97.5,128,"New York"
