"...1","index","Job.Title","Salary.Estimate","City","Company","Rating","State","Metro.Area","Industry","Sector","Lower.Salary","Upper.Salary","Avg.Salary.K.","cost.of.living","region"
28,28,"Associate Data Analyst","$34K-$61K (Glassdoor est.)","Worcester","The Hanover Insurance Group","3.7","MA","Worcester","Insurance Carriers","Insurance",34,61,47.5,113.2,"Massachusetts"
29,29,"Clinical Data Scientist","$63K-$105K (Glassdoor est.)","Groton","Pfizer","4.0","CT","New London","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,105,84,105.9,"Northeast"
30,30,"Data Scientist","$80K-$90K (Glassdoor est.)","Clearwater","KnowBe4","4.8","FL","Tampa","Security Services","Business Services",80,90,85,101.4,"South"
31,31,"Data Scientist","$56K-$97K (Glassdoor est.)","Richland","PNNL","3.8","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",56,97,76.5,99.7,"West"
32,32,"Data Scientist","$72K-$120K (Glassdoor est.)","Detroit","Amrock","3.6","MI","Detroit","Real Estate","Real Estate",72,120,96,93.2,"Midwest"
33,33,"Data Scientist / Machine Learning Expert","$86K-$143K (Glassdoor est.)","Cambridge","Novartis","3.8","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",86,143,114.5,132.6,"Massachusetts"
34,34,"Data Scientist","$93K-$149K (Glassdoor est.)","Sunnyvale","Juniper Networks","3.8","CA","San Jose","Telecommunications Services","Telecommunications",93,149,121,173.5,"California"
35,35,"Data Scientist","$85K-$140K (Glassdoor est.)","Ipswich","New England Biolabs","4.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",85,140,112.5,132.6,"Massachusetts"
36,36,"Web Data Analyst","$77K-$135K (Glassdoor est.)","San Jose","Clarity Insights","4.2","CA","San Jose","IT Services","Information Technology",77,135,106,173.5,"California"
37,37,"Data Scientist","$82K-$132K (Glassdoor est.)","Redlands","Esri","3.5","CA","Riverside","Computer Hardware & Software","Information Technology",82,132,107,116.1,"California"
38,38,"Data Scientist","$83K-$137K (Glassdoor est.)","Woburn","Systems & Technology Research","4.7","MA","Boston","Aerospace & Defense","Aerospace & Defense",83,137,110,132.6,"Massachusetts"
39,39,"Senior Data Scientist","$115K-$180K (Glassdoor est.)","Fremont","Sartorius","3.5","CA","San Jose","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",115,180,147.5,173.5,"California"
40,40,"Data Engineer","$74K-$138K (Glassdoor est.)","Long Beach","Lancer Insurance","3.5","NY","New York","Insurance Carriers","Insurance",74,138,106,128,"New York"
41,41,"Data Analyst","$64K-$112K (Glassdoor est.)","San Francisco","Sauce Labs","4.2","CA","San Francisco","IT Services","Information Technology",64,112,88,178.6,"California"
42,43,"Data Engineer","$68K-$129K (Glassdoor est.)","Marlborough","Persivia","3.6","MA","Worcester","-1","-1",68,129,98.5,113.2,"Massachusetts"
43,44,"Data Scientist - Algorithms & Inference","$110K-$175K (Glassdoor est.)","San Francisco","Nuna","4.2","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",110,175,142.5,178.6,"California"
44,45,"Scientist","$52K-$113K (Glassdoor est.)","Allendale","Edgewell Personal Care","3.4","NJ","New York","Consumer Products Manufacturing","Manufacturing",52,113,82.5,128,"Northeast"
45,46,"Senior Data Scientist","$110K-$150K(Employer est.)","Chicago","Equity Residential","4.3","IL","Chicago","Real Estate","Real Estate",110,150,130,100.1,"Midwest"
46,48,"Data Scientist","Employer Provided Salary:$150K-$160K","Washington","BPA Services","5.0","DC","Washington","Enterprise Software & Network Solutions","Information Technology",150,160,155,120.1,"South"
47,49,"Lead Data Scientist","$158K-$211K (Glassdoor est.)","Bellevue","Visa Inc.","3.7","WA","Seattle","IT Services","Information Technology",158,211,184.5,124.6,"West"
48,50,"Associate Data Analyst","$20K-$39K (Glassdoor est.)","Longmont","Intrado","3.1","CO","Boulder","Enterprise Software & Network Solutions","Information Technology",20,39,29.5,118.7,"West"
49,51,"Spectral Scientist/Engineer","$56K-$117K (Glassdoor est.)","Beavercreek","Centauri","4.7","OH","Dayton","Aerospace & Defense","Aerospace & Defense",56,117,86.5,88.4,"Midwest"
50,52,"College Hire - Data Scientist - Open to December 2019 Graduates","$63K-$99K (Glassdoor est.)","Peoria","Caterpillar","3.7","IL","Peoria","Industrial Manufacturing","Manufacturing",63,99,81,86.7,"Midwest"
51,54,"Data Scientist","$68K-$114K (Glassdoor est.)","Fort Lauderdale","Zimmerman Advertising","3.8","FL","Miami","Advertising & Marketing","Business Services",68,114,91,110.1,"South"
52,55,"Data Scientist, Office of Data Science","$86K-$143K (Glassdoor est.)","Boston","Liberty Mutual Insurance","3.3","MA","Boston","Insurance Carriers","Insurance",86,143,114.5,132.6,"Massachusetts"
53,56,"Data Science Analyst","$41K-$95K (Glassdoor est.)","Huntsville","Torch Technologies, Inc.","4.6","AL","Huntsville, AL","Aerospace & Defense","Aerospace & Defense",41,95,68,91.3,"South"
54,57,"Data Scientist","$86K-$144K (Glassdoor est.)","Armonk","Swiss Re","3.7","NY","Kingston","Insurance Agencies & Brokerages","Insurance",86,144,115,106.1,"New York"
55,58,"Data Scientist","$80K-$139K (Glassdoor est.)","San Diego","Northrop Grumman","3.7","CA","San Diego","Aerospace & Defense","Aerospace & Defense",80,139,109.5,136.2,"California"
56,59,"Data Scientist","$56K-$95K (Glassdoor est.)","Albuquerque","Sartorius","3.5","NM","Albuquerque","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",56,95,75.5,92.9,"West"
57,60,"Data Scientist","$120K-$189K (Glassdoor est.)","San Francisco","Netskope","4.1","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",120,189,154.5,178.6,"California"
58,61,"Data Scientist","$111K-$176K (Glassdoor est.)","Saint Louis","1904labs","4.7","MO","St. Louis","IT Services","Information Technology",111,176,143.5,89.6,"Midwest"
59,62,"Data Scientist","$54K-$93K (Glassdoor est.)","Baltimore","ClearOne Advantage","4.1","MD","Baltimore","Banks & Credit Unions","Finance",54,93,73.5,107,"South"
60,63,"Data Scientist","$71K-$119K (Glassdoor est.)","Dallas","CyrusOne","3.4","TX","Dallas","Real Estate","Real Estate",71,119,95,98.5,"South"
61,65,"Senior Data Scientist","$82K-$132K (Glassdoor est.)","Cincinnati","The David J. Joseph Company","4.4","OH","Cincinnati","Metals Brokers","Mining & Metals",82,132,107,92.4,"Midwest"
62,66,"Data Scientist","$84K-$146K (Glassdoor est.)","New York","USEReady","4.3","NY","New York","Consulting","Business Services",84,146,115,128,"New York"
63,67,"Senior Risk Data Scientist","$107K-$172K (Glassdoor est.)","Palo Alto","Bill.com","3.8","CA","San Francisco","Financial Transaction Processing","Finance",107,172,139.5,178.6,"California"
64,68,"Data Scientist in Artificial Intelligence Early Career","$49K-$85K (Glassdoor est.)","Richland","Pacific Northwest National Laboratory","3.8","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",49,85,67,99.7,"West"
65,70,"Data Scientist","$61K-$109K (Glassdoor est.)","Coraopolis","DICK'S Sporting Goods - Corporate","3.8","PA","Pittsburgh","Sporting Goods Stores","Retail",61,109,85,93.1,"Northeast"
66,72,"Data Scientist","$88K-$148K (Glassdoor est.)","Framingham","Berg Health","2.8","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",88,148,118,132.6,"Massachusetts"
67,73,"Data Scientist","$60K-$99K (Glassdoor est.)","Atlanta","Oversight Systems","4.7","GA","Atlanta","Computer Hardware & Software","Information Technology",60,99,79.5,100.3,"South"
68,75,"Data Scientist - Research","$41K-$72K (Glassdoor est.)","Boston","C Space","3.1","MA","Boston","Advertising & Marketing","Business Services",41,72,56.5,132.6,"Massachusetts"
69,76,"Data Scientist","$96K-$161K (Glassdoor est.)","Philadelphia","Numeric, LLC","3.2","PA","Philadelphia","Staffing & Outsourcing","Business Services",96,161,128.5,103.4,"Northeast"
70,77,"R&D Data Analysis Scientist","$65K-$130K (Glassdoor est.)","Vancouver","HP Inc.","4.0","WA","Portland, OR","Computer Hardware & Software","Information Technology",65,130,97.5,116.5,"West"
71,78,"Analytics Consultant","$52K-$81K (Glassdoor est.)","Indianapolis","SpringML","4.4","IN","Indianapolis","Enterprise Software & Network Solutions","Information Technology",52,81,66.5,90.2,"Midwest"
72,79,"Director, Data Science","$139K-$220K (Glassdoor est.)","Lake Forest","Grainger","3.6","IL","Chicago","Wholesale","Business Services",139,220,179.5,100.1,"Midwest"
73,80,"Scientist","$50K-$102K (Glassdoor est.)","Maryland Heights","EAG Laboratories","2.7","MO","St. Louis","Research & Development","Business Services",50,102,76,89.6,"Midwest"
74,81,"Data Scientist SR","$85K-$139K (Glassdoor est.)","Charlottesville","The Buffalo Group","3.9","VA","Charlottesville","IT Services","Information Technology",85,139,112,102.1,"South"
75,82,"Data Scientist","$74K-$122K (Glassdoor est.)","Pittsburgh","Carmeuse","3.1","PA","Pittsburgh","Mining","Mining & Metals",74,122,98,93.1,"Northeast"
76,83,"R&D Sr Data Scientist","$99K-$157K (Glassdoor est.)","Vancouver","HP Inc.","4.0","WA","Portland, OR","Computer Hardware & Software","Information Technology",99,157,128,116.5,"West"
77,84,"Customer Data Scientist/Sales Engineer (Bay","$79K-$222K (Glassdoor est.)","Mountain View","h2o.ai","4.3","CA","San Jose","Enterprise Software & Network Solutions","Information Technology",79,222,150.5,173.5,"California"
78,85,"Research Scientist","$57K-$118K (Glassdoor est.)","Cambridge","GNS Healthcare","1.9","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",57,118,87.5,132.6,"Massachusetts"
79,86,"Data Scientist","$83K-$137K (Glassdoor est.)","Chantilly","Peraton","3.3","VA","Washington","Aerospace & Defense","Aerospace & Defense",83,137,110,120.1,"South"
80,87,"Data Scientist","$86K-$141K (Glassdoor est.)","San Jose","Pactera","4.4","CA","San Jose","IT Services","Information Technology",86,141,113.5,173.5,"California"
81,88,"Data Scientist","$94K-$154K (Glassdoor est.)","San Francisco","Nurx","3.9","CA","San Francisco","Health Care Services & Hospitals","Health Care",94,154,124,178.6,"California"
82,89,"Jr. Business Data Analyst","$37K-$76K (Glassdoor est.)","Harrisburg","webfx.com","4.7","PA","Harrisburg","Advertising & Marketing","Business Services",37,76,56.5,95.8,"Northeast"
83,90,"Data Scientist","$100K-$160K (Glassdoor est.)","Laurel","Johns Hopkins University Applied Physics Laboratory","4.5","MD","Baltimore","Aerospace & Defense","Aerospace & Defense",100,160,130,107,"South"
84,91,"Data Analyst","$55K-$100K (Glassdoor est.)","Chicago","Productive Edge","4.3","IL","Chicago","Computer Hardware & Software","Information Technology",55,100,77.5,100.1,"Midwest"
85,92,"Data Engineer","$60K-$114K (Glassdoor est.)","Arlington","Excella Consulting","4.0","VA","Washington","Consulting","Business Services",60,114,87,120.1,"South"
86,93,"Data Analyst","$39K-$68K (Glassdoor est.)","Tacoma","Gensco","4.4","WA","Seattle","Wholesale","Business Services",39,68,53.5,124.6,"West"
87,94,"Staff Data Scientist - Technology","$106K-$172K (Glassdoor est.)","Plano","Walmart","3.2","TX","Dallas","Department, Clothing, & Shoe Stores","Retail",106,172,139,98.5,"South"
88,95,"Data Scientist","$86K-$142K (Glassdoor est.)","San Jose","Logic20/20","3.8","CA","San Jose","Consulting","Business Services",86,142,114,173.5,"California"
89,96,"Data Scientist","$64K-$107K (Glassdoor est.)","Miami","goTRG","4.2","FL","Miami","Enterprise Software & Network Solutions","Information Technology",64,107,85.5,110.1,"South"
90,97,"Data Management Specialist","$31K-$65K (Glassdoor est.)","Huntsville","NMR Consulting","4.5","AL","Huntsville, AL","IT Services","Information Technology",31,65,48,91.3,"South"
91,99,"E-Commerce Data Analyst","$34K-$62K (Glassdoor est.)","New Orleans","iSeatz","3.5","LA","New Orleans","Enterprise Software & Network Solutions","Information Technology",34,62,48,92.4,"South"
92,101,"Sr. Scientist II","$117K-$231K (Glassdoor est.)","San Francisco","Nektar Therapeutics","3.5","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",117,231,174,178.6,"California"
93,102,"Insurance Data Scientist","$64K-$106K (Glassdoor est.)","Atlanta","TransUnion","3.9","GA","Atlanta","Financial Analytics & Research","Finance",64,106,85,100.3,"South"
94,104,"Data Modeler","$79K-$134K (Glassdoor est.)","Landover","IT Concepts","4.7","MD","Washington","IT Services","Information Technology",79,134,106.5,120.1,"South"
95,105,"Data Analyst / Scientist","$52K-$93K (Glassdoor est.)","Patuxent River","Scientific Research Corporation","4.2","MD","California","IT Services","Information Technology",52,93,72.5,104.8,"South"
96,106,"Scientist","$55K-$116K (Glassdoor est.)","Suitland","General Dynamics Information Technology","3.4","MD","Washington","IT Services","Information Technology",55,116,85.5,120.1,"South"
97,107,"Data Scientist","$72K-$123K (Glassdoor est.)","McLean","MITRE","3.2","VA","Washington","Federal Agencies","Government",72,123,97.5,120.1,"South"
98,108,"Data Scientist","$74K-$124K (Glassdoor est.)","Fort Belvoir","The Buffalo Group","3.9","VA","Washington","IT Services","Information Technology",74,124,99,120.1,"South"
99,109,"Data Analyst","$40K-$73K (Glassdoor est.)","Milwaukee","DentaQuest","3.1","WI","Milwaukee","Insurance Carriers","Insurance",40,73,56.5,93.8,"Midwest"
100,110,"Lead Data Scientist","$102K-$164K (Glassdoor est.)","Silver Spring","Redjack","4.1","MD","Washington","IT Services","Information Technology",102,164,133,120.1,"South"
101,112,"Data Scientist","$89K-$153K (Glassdoor est.)","New York","7Park Data","3.8","NY","New York","Research & Development","Business Services",89,153,121,128,"New York"
102,113,"Data Scientist","$61K-$110K (Glassdoor est.)","Syracuse","Rapid Response Monitoring","4.7","NY","Syracuse","Security Services","Business Services",61,110,85.5,95.1,"New York"
103,116,"Data Scientist, Rice University","$65K-$110K (Glassdoor est.)","Houston","Trilogy Ed","4.3","TX","Houston","Education Training Services","Education",65,110,87.5,95.8,"South"
104,117,"Senior Data Scientist","$200K-$275K(Employer est.)","Washington","Gallup","4.2","DC","Washington","Consulting","Business Services",200,275,237.5,120.1,"South"
105,118,"Data Engineer","$68K-$123K (Glassdoor est.)","Charlotte","CapTech","3.9","NC","Charlotte","IT Services","Information Technology",68,123,95.5,97.9,"South"
106,119,"Senior Data Scientist","$80K-$129K (Glassdoor est.)","Southfield","American Axle & Manufacturing","3.3","MI","Detroit","Transportation Equipment Manufacturing","Manufacturing",80,129,104.5,93.2,"Midwest"
107,120,"Financial Data Analyst","$41K-$72K (Glassdoor est.)","Matawan","CentralReach","4.7","NJ","New York","Computer Hardware & Software","Information Technology",41,72,56.5,128,"Northeast"
108,122,"Senior Data Analyst","$39K-$71K (Glassdoor est.)","Phoenix","Integrate","4.3","AZ","Phoenix","Enterprise Software & Network Solutions","Information Technology",39,71,55,104.3,"West"
109,123,"Research Scientist","$38K-$85K (Glassdoor est.)","Omaha","Boys Town Hospital","2.9","NE","Omaha","Health Care Services & Hospitals","Health Care",38,85,61.5,92.9,"Midwest"
110,124,"Data Scientist","$121K-$193K (Glassdoor est.)","San Francisco","Demandbase","4.5","CA","San Francisco","Computer Hardware & Software","Information Technology",121,193,157,178.6,"California"
111,125,"Data Engineer","$54K-$102K (Glassdoor est.)","Lyndhurst","Sapphire Digital","3.4","NJ","New York","Internet","Information Technology",54,102,78,128,"Northeast"
112,126,"Data Scientist","$83K-$144K (Glassdoor est.)","Cambridge","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",83,144,113.5,132.6,"Massachusetts"
113,127,"Data Scientist","$120K-$160K (Glassdoor est.)","New York","<intent>","4.6","NY","New York","Internet","Information Technology",120,160,140,128,"New York"
114,128,"Data Scientist","$102K-$163K (Glassdoor est.)","San Francisco","Formation","3.2","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",102,163,132.5,178.6,"California"
115,129,"Data Engineer","$76K-$140K (Glassdoor est.)","San Francisco","Autodesk","4.0","CA","San Francisco","Computer Hardware & Software","Information Technology",76,140,108,178.6,"California"
116,130,"Ag Data Scientist","$60K-$101K (Glassdoor est.)","Atlanta","Beck's Hybrids","4.6","IN","Kokomo","Farm Support Services","Agriculture & Forestry",60,101,80.5,84.9,"Midwest"
117,131,"Data Scientist","$82K-$133K (Glassdoor est.)","Rockville","DrFirst","2.8","MD","Washington","Health Care Services & Hospitals","Health Care",82,133,107.5,120.1,"South"
118,132,"Data Engineer","$65K-$125K (Glassdoor est.)","Minneapolis","Object Partners","4.7","MN","Minneapolis","Consulting","Business Services",65,125,95,105.4,"Midwest"
119,136,"Data Scientist II","$91K-$148K (Glassdoor est.)","Los Angeles","L.A. Care Health Plan","3.0","CA","Los Angeles","Health Care Services & Hospitals","Health Care",91,148,119.5,140.6,"California"
120,137,"Senior Data Engineer","$95K-$173K (Glassdoor est.)","Charlotte","Red Ventures","3.2","NC","Charlotte","Advertising & Marketing","Business Services",95,173,134,97.9,"South"
121,138,"Data Scientist","$77K-$124K (Glassdoor est.)","Cambridge","Quick Base","4.4","MA","Boston","Enterprise Software & Network Solutions","Information Technology",77,124,100.5,132.6,"Massachusetts"
122,139,"Data Scientist","$80K-$135K (Glassdoor est.)","Cincinnati","The E.W. Scripps Company","3.5","OH","Cincinnati","TV Broadcast & Cable Networks","Media",80,135,107.5,92.4,"Midwest"
123,140,"Data Engineer","$85K-$159K (Glassdoor est.)","Washington","Upside Business Travel","4.0","DC","Washington","Internet","Information Technology",85,159,122,120.1,"South"
124,141,"Data Engineer","$80K-$105K(Employer est.)","Chicago","Equity Residential","4.3","IL","Chicago","Real Estate","Real Estate",80,105,92.5,100.1,"Midwest"
125,142,"Data Analyst","$43K-$81K (Glassdoor est.)","Baltimore","Synagro","2.3","MD","Baltimore","Research & Development","Business Services",43,81,62,107,"South"
126,143,"Project Scientist","$29K-$50K (Glassdoor est.)","Alabaster","Alliance Source Testing","4.0","AL","Birmingham","Architectural & Engineering Services","Business Services",29,50,39.5,90.7,"South"
127,145,"Data Scientist","$82K-$133K (Glassdoor est.)","Los Angeles","Accuride International","3.6","CA","Los Angeles","Industrial Manufacturing","Manufacturing",82,133,107.5,140.6,"California"
128,146,"Data Analytics Manager","$26K-$55K (Glassdoor est.)","Kansas City","Full Potential Solutions","3.8","MO","Kansas City","Staffing & Outsourcing","Business Services",26,55,40.5,91.6,"Midwest"
129,147,"Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics","$61K-$118K (Glassdoor est.)","Ashburn","Visa Inc.","3.7","VA","Washington","IT Services","Information Technology",61,118,89.5,120.1,"South"
130,148,"Data Scientist","$60K-$102K (Glassdoor est.)","Chicago","Maven Wave Partners","4.4","IL","Chicago","Consulting","Business Services",60,102,81,100.1,"Midwest"
131,150,"Senior Data Scientist","$112K-$182K (Glassdoor est.)","Herndon","Novetta","4.0","VA","Washington","Enterprise Software & Network Solutions","Information Technology",112,182,147,120.1,"South"
132,152,"Data Scientist","$64K-$106K (Glassdoor est.)","Fort Worth","First Command Financial Services, Inc.","3.2","TX","Dallas","Brokerage Services","Finance",64,106,85,98.5,"South"
133,153,"Associate Scientist","$51K-$112K (Glassdoor est.)","Valencia","Pharmavite","2.9","CA","Los Angeles","Consumer Products Manufacturing","Manufacturing",51,112,81.5,140.6,"California"
134,154,"Scientist 2, QC Viral Vector","$113K-$223K (Glassdoor est.)","Novato","BioMarin Pharmaceutical","3.8","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",113,223,168,178.6,"California"
135,156,"Machine Learning Engineer","$72K-$129K (Glassdoor est.)","Aurora","Stratagem Group","4.3","CO","Denver","Aerospace & Defense","Aerospace & Defense",72,129,100.5,112.1,"West"
136,157,"Data Scientist/ML Engineer","$71K-$123K (Glassdoor est.)","New York","PA Consulting","3.4","NY","New York","Consulting","Business Services",71,123,97,128,"New York"
137,158,"Data Scientist","$64K-$106K (Glassdoor est.)","Chantilly","ManTech","4.1","VA","Washington","Research & Development","Business Services",64,106,85,120.1,"South"
138,159,"Customer Data Scientist","$118K-$189K (Glassdoor est.)","Mountain View","h2o.ai","4.3","CA","San Jose","Enterprise Software & Network Solutions","Information Technology",118,189,153.5,173.5,"California"
139,161,"Data Engineer","Employer Provided Salary:$120K-$145K","Tampa","Gridiron IT","5.0","FL","Tampa","IT Services","Information Technology",120,145,132.5,101.4,"South"
140,162,"Data Engineer","$80K-$120K (Glassdoor est.)","Chicago","Productive Edge","4.3","IL","Chicago","Computer Hardware & Software","Information Technology",80,120,100,100.1,"Midwest"
141,164,"Sr. Data Scientist","$80K-$130K (Glassdoor est.)","Denver","Evolve Vacation Rental","3.7","CO","Denver","Travel Agencies","Travel & Tourism",80,130,105,112.1,"West"
142,166,"Data Engineer 4 - Contract","$59K-$115K (Glassdoor est.)","Riverton","The Church of Jesus Christ of Latter-day Saints","4.2","UT","Salt Lake City","Religious Organizations","Non-Profit",59,115,87,105.9,"West"
143,167,"Data Analyst - Asset Management","$71K-$136K (Glassdoor est.)","San Francisco","Maximus Real Estate Partners","4.3","CA","San Francisco","Real Estate","Real Estate",71,136,103.5,178.6,"California"
144,168,"Senior Research Scientist - Embedded System Development for DevOps","$81K-$167K (Glassdoor est.)","Pittsburgh","Software Engineering Institute","2.6","PA","Pittsburgh","Colleges & Universities","Education",81,167,124,93.1,"Northeast"
145,169,"Data Scientist - Bioinformatics","$49K-$85K (Glassdoor est.)","Richland","PNNL","3.8","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",49,85,67,99.7,"West"
146,170,"Data Engineer","$60K-$114K (Glassdoor est.)","Washington","AVANADE","3.9","DC","Washington","IT Services","Information Technology",60,114,87,120.1,"South"
147,171,"Customer Data Scientist/Sales Engineer","$71K-$204K (Glassdoor est.)","Chicago","h2o.ai","4.3","IL","Chicago","Enterprise Software & Network Solutions","Information Technology",71,204,137.5,100.1,"Midwest"
148,172,"Lead Data Scientist","$75K-$125K (Glassdoor est.)","Cincinnati","PatientPoint","3.8","OH","Cincinnati","Advertising & Marketing","Business Services",75,125,100,92.4,"Midwest"
149,174,"MongoDB Data Engineer II","$77K-$136K (Glassdoor est.)","Chattanooga","BlueCross BlueShield of Tennessee","3.8","TN","Chattanooga","Insurance Carriers","Insurance",77,136,106.5,91.2,"South"
150,175,"Senior Data Scientist Statistics","$74K-$123K (Glassdoor est.)","Richland","PNNL","3.8","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",74,123,98.5,99.7,"West"
151,177,"Senior Data Analyst","$44K-$78K (Glassdoor est.)","Clearwater","KnowBe4","4.8","FL","Tampa","Security Services","Business Services",44,78,61,101.4,"South"
152,178,"Senior Spark Engineer (Data Science)","$65K-$148K (Glassdoor est.)","Indianapolis","KSM Consulting","4.4","IN","Indianapolis","Consulting","Business Services",65,148,106.5,90.2,"Midwest"
153,179,"Data Engineer","$59K-$110K (Glassdoor est.)","Cambridge","Cogo Labs","3.9","MA","Boston","Internet","Information Technology",59,110,84.5,132.6,"Massachusetts"
154,180,"BI & Platform Analytics Manager","$85K-$134K (Glassdoor est.)","Ewing","Church & Dwight","3.4","NJ","Trenton","Consumer Products Manufacturing","Manufacturing",85,134,109.5,104.3,"Northeast"
155,181,"Lead Data Scientist","$124K-$204K (Glassdoor est.)","Boston","MassMutual","3.6","MA","Boston","Insurance Carriers","Insurance",124,204,164,132.6,"Massachusetts"
156,182,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)","$131K-$207K (Glassdoor est.)","South San Francisco","Genentech","3.9","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",131,207,169,178.6,"California"
157,183,"Senior Data Scientist","$110K-$174K (Glassdoor est.)","Cupertino","Juniper Networks","3.8","CA","San Jose","Telecommunications Services","Telecommunications",110,174,142,173.5,"California"
158,185,"Pricipal Scientist Molecular and cellular biologist","$52K-$101K (Glassdoor est.)","Boston","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",52,101,76.5,132.6,"Massachusetts"
159,187,"Data Scientist (Actuary, FSA or ASA)","$81K-$133K (Glassdoor est.)","Frederick","Legal & General America","3.8","MD","Hagerstown","Insurance Carriers","Insurance",81,133,107,99.7,"South"
160,188,"Staff Data Scientist","$132K-$211K (Glassdoor est.)","San Jose","Western Digital","3.5","CA","San Jose","Computer Hardware & Software","Information Technology",132,211,171.5,173.5,"California"
161,190,"Senior Data Scientist / Machine Learning","$73K-$119K (Glassdoor est.)","Dallas","Health IQ","3.9","TX","Dallas","Insurance Agencies & Brokerages","Insurance",73,119,96,98.5,"South"
162,191,"Data Scientist - Health Data Analytics","$110K-$175K (Glassdoor est.)","San Francisco","Nuna","4.2","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",110,175,142.5,178.6,"California"
163,192,"Data Engineer 5 - Contract (Remote)","$74K-$140K (Glassdoor est.)","Riverton","The Church of Jesus Christ of Latter-day Saints","4.2","UT","Salt Lake City","Religious Organizations","Non-Profit",74,140,107,105.9,"West"
164,193,"Senior Scientist - Neuroscience","$100K-$190K (Glassdoor est.)","Marlborough","Sunovion","3.5","MA","Worcester","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",100,190,145,113.2,"Massachusetts"
165,194,"Senior Data Analyst","$43K-$80K (Glassdoor est.)","Herndon","National Student Clearinghouse","2.9","VA","Washington","Colleges & Universities","Education",43,80,61.5,120.1,"South"
166,197,"Medical Lab Scientist","$17-$24 Per Hour(Glassdoor est.)","West Reading","Tower Health","3.6","PA","Reading","Health Care Services & Hospitals","Health Care",35,49,42,96,"Northeast"
167,198,"Risk and Analytics IT, Data Scientist","$91K-$149K (Glassdoor est.)","Madison","State of Wisconsin Investment Board","2.7","WI","Madison","Investment Banking & Asset Management","Finance",91,149,120,99.5,"Midwest"
168,199,"Scientist, Analytical Development","$42K-$82K (Glassdoor est.)","Cambridge","Rubius Therapeutics","4.4","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",42,82,62,132.6,"Massachusetts"
169,200,"Senior Data Scientist","$116K-$185K (Glassdoor est.)","San Francisco","Autodesk","4.0","CA","San Francisco","Computer Hardware & Software","Information Technology",116,185,150.5,178.6,"California"
170,201,"Analytics Manager","$59K-$116K (Glassdoor est.)","Dearborn","OneMagnify","4.3","MI","Detroit","Advertising & Marketing","Business Services",59,116,87.5,93.2,"Midwest"
171,202,"Data Engineer","$48K-$95K (Glassdoor est.)","Winter Park","IZEA","4.2","FL","Orlando","Advertising & Marketing","Business Services",48,95,71.5,101.4,"South"
172,203,"Digital Marketing & ECommerce Data Analyst","$31K-$72K (Glassdoor est.)","San Rafael","Vionic Group","3.6","CA","San Francisco","Department, Clothing, & Shoe Stores","Retail",31,72,51.5,178.6,"California"
173,204,"Sr. Scientist - Digital & Image Analysis/Computational Pathology","$105K-$198K (Glassdoor est.)","San Diego","Takeda Pharmaceuticals","3.7","CA","San Diego","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",105,198,151.5,136.2,"California"
174,205,"Senior Data Analyst","$55K-$100K (Glassdoor est.)","Hamilton","Dodge Data & Analytics","2.8","NJ","Trenton","IT Services","Information Technology",55,100,77.5,104.3,"Northeast"
175,206,"Principal Scientist - Immunologist","$98K-$182K (Glassdoor est.)","Boston","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",98,182,140,132.6,"Massachusetts"
176,207,"Senior Data Scientist","$73K-$124K (Glassdoor est.)","Woodbridge","Plymouth Rock Assurance","3.3","NJ","New York","Insurance Carriers","Insurance",73,124,98.5,128,"Northeast"
177,208,"Principal Data Scientist with over 10 years experience","Employer Provided Salary:$200K-$250K","San Francisco","CA-One Tech Cloud",NA,"CA","San Francisco","IT Services","Information Technology",200,250,225,178.6,"California"
